Crop,Crop_matched,Target_mode,Soil_N_ppm,Soil_P_ppm,Soil_K_ppm,Target_N,Target_P,Target_K,Required_N,Required_P,Required_K,Complete_kg_ha,Urea_kg_ha,Compost_kg_ha,N_from_Complete,P_from_Complete,K_from_Complete,N_from_Urea,Total_N_supplied,Total_P_supplied,Total_K_supplied
Cabbage,Cabbage,M,121.07,30.25,20.73,146.3,36.6,45.5,25.2,6.4,24.8,177.1,0.9,7.0,24.79,24.79,24.79,0.41,25.23,24.8,24.8
Chayote,Chayote,M,39.08,18.37,29.19,50.0,51.5,47.1,10.9,33.1,17.9,236.4,6.81,3.69,33.1,33.1,33.1,5.0,33.1,33.1,33.1
Tomato,Tomato,M,65.03,31.07,30.45,82.1,76.3,58.8,17.1,45.2,28.4,322.9,2.39,9.51,45.21,45.21,45.21,4.0,45.21,45.21,45.21
Cabbage,Cabbage,L,115.79,29.84,17.78,144.2,57.3,58.7,28.4,27.5,40.9,292.1,5.36,6.0,40.89,40.89,40.89,6.0,40.92,40.9,40.9
String Bean,String Bean,L,35.32,21.08,29.37,49.2,91.3,50.5,13.9,70.2,21.1,501.4,1.32,1.91,70.2,70.2,70.2,10.0,70.2,70.2,70.2
String Bean,String Bean,L,39.89,20.01,25.82,49.0,93.0,48.2,9.1,73.0,22.4,521.4,7.59,7.91,73.0,73.0,73.0,2.0,73.0,73.0,73.0
Patola,Patola,L,33.75,15.73,28.43,88.6,77.0,61.4,54.8,61.3,33.0,437.9,5.3,4.65,61.31,61.31,61.31,6.0,61.31,61.31,61.31
Patola,Patola,H,34.81,23.53,31.08,29.9,19.9,29.3,2.79,3.34,2.66,5.6,6.1,8.4,1.0,9.0,4.0,5.0,8.0,3.0,2.0
Tomato,Tomato,M,90.78,28.77,36.24,79.5,75.8,62.7,9.56,47.0,26.5,335.7,7.55,7.79,47.0,47.0,47.0,10.0,47.0,47.0,47.0
Tomato,Tomato,M,76.52,30.77,34.25,83.0,71.3,61.7,6.5,40.5,27.4,289.3,9.91,1.65,40.5,40.5,40.5,5.0,40.5,40.5,40.5
Chayote,Chayote,H,45.65,20.27,29.98,39.5,20.3,30.7,9.21,8.81,0.7,5.0,1.97,7.08,0.7,0.7,0.7,6.0,0.7,0.7,0.7
Patola,Patola,H,34.44,20.28,30.51,31.0,20.1,30.2,6.86,4.36,9.73,9.29,5.44,2.53,4.0,4.0,8.0,8.0,9.0,2.0,8.0
Cabbage,Cabbage,L,140.66,31.42,21.56,149.1,58.4,58.0,8.4,27.0,36.4,260.0,1.95,5.38,36.4,36.4,36.4,10.0,36.4,36.4,36.4
Okra,Okra,M,77.01,19.16,30.21,78.8,48.5,59.0,1.8,29.3,28.8,209.3,9.72,5.06,29.3,29.3,29.3,3.0,29.3,29.3,29.3
Chayote,Chayote,H,36.2,17.54,27.61,39.1,20.9,29.3,2.9,3.4,1.7,24.3,2.23,7.81,3.4,3.4,3.4,2.0,3.4,3.4,3.4
Ampalaya,Ampalaya,M,50.15,22.37,27.99,52.1,50.6,46.3,2.0,28.2,18.3,201.4,9.93,4.29,28.2,28.2,28.2,10.0,28.2,28.2,28.2
Chili Pepper,Chili Pepper,M,27.18,32.06,59.36,60.0,51.5,125.9,32.8,19.4,66.5,475.0,3.27,1.59,66.5,66.5,66.5,5.0,66.5,66.5,66.5
Cabbage,Cabbage,L,134.0,25.22,18.08,153.0,59.3,61.0,19.0,34.1,42.9,306.4,6.01,1.98,42.9,42.9,42.9,10.0,42.9,42.9,42.9
Tomato,Tomato,L,64.96,30.11,26.67,88.9,121.0,91.9,23.9,90.9,65.2,649.3,9.87,9.79,90.9,90.9,90.9,5.0,90.9,90.9,90.9
Ampalaya,Ampalaya,M,37.23,19.75,32.75,48.7,51.2,46.8,11.5,31.4,14.0,224.3,9.99,3.96,31.4,31.4,31.4,6.0,31.4,31.4,31.4
Carrot,Carrot,L,61.57,30.43,27.1,91.6,88.4,123.9,30.0,58.0,96.8,691.4,6.54,2.73,96.8,96.8,96.8,5.0,96.8,96.8,96.8
Eggplant,Eggplant,M,74.29,18.49,36.89,78.6,52.0,59.9,4.3,33.5,23.0,239.3,6.07,5.43,33.5,33.5,33.5,10.0,33.5,33.5,33.5
Eggplant,Eggplant,L,66.96,17.44,28.03,91.3,81.7,89.8,24.3,64.3,61.8,459.3,3.52,3.93,64.3,64.3,64.3,6.0,64.3,64.3,64.3
Chili Pepper,Chili Pepper,L,30.23,33.62,60.72,89.9,83.3,152.7,59.7,49.7,92.0,657.1,5.28,3.0,91.99,91.99,91.99,8.0,92.02,92.0,92.0
Okra,Okra,H,73.62,20.12,31.14,77.1,20.4,28.7,3.5,0.3,3.68,2.1,7.0,1.0,0.29,0.29,0.29,3.22,3.54,0.3,0.3
Carrot,Carrot,M,73.16,32.9,30.95,79.5,58.1,73.7,6.3,25.2,42.8,305.7,7.45,6.34,42.8,42.8,42.8,5.0,42.8,42.8,42.8
Patola,Patola,M,32.59,19.48,31.69,63.0,47.8,44.5,30.4,28.3,12.8,202.1,4.6,4.0,28.29,28.29,28.29,2.12,30.44,28.3,28.3
Ampalaya,Ampalaya,M,37.87,20.12,31.15,51.8,50.2,46.1,13.9,30.1,15.0,215.0,8.68,1.33,30.1,30.1,30.1,10.0,30.1,30.1,30.1
Patola,Patola,M,29.65,22.92,30.8,60.0,51.6,44.1,30.4,28.7,13.3,205.0,3.7,2.21,28.7,28.7,28.7,1.7,30.4,28.7,28.7
String Bean,String Bean,L,33.03,20.05,30.3,50.4,93.3,48.8,17.4,73.2,18.5,522.9,3.86,3.15,73.21,73.21,73.21,3.0,73.21,73.21,73.21
Carrot,Carrot,M,76.6,33.35,28.59,76.9,62.5,74.4,0.3,29.2,45.8,327.1,9.87,10.0,45.79,45.79,45.79,2.0,45.82,45.8,45.8
Chili Pepper,Chili Pepper,H,29.21,26.99,66.57,31.1,30.8,61.6,1.9,3.8,3.23,27.1,6.27,3.0,3.79,3.79,3.79,2.0,3.82,3.8,3.8
Okra,Okra,L,73.03,23.75,26.56,92.9,79.8,88.2,19.9,56.0,61.6,440.0,3.42,7.34,61.6,61.6,61.6,3.0,61.6,61.6,61.6
Carrot,Carrot,L,68.39,32.24,27.34,92.4,90.2,125.1,24.0,58.0,97.8,698.6,1.28,7.09,97.8,97.8,97.8,7.0,97.8,97.8,97.8
Carrot,Carrot,H,79.67,28.95,35.63,68.2,29.4,29.1,4.68,0.4,8.72,2.9,5.61,8.2,0.41,0.41,0.41,9.0,0.41,0.41,0.41
Cabbage,Cabbage,H,104.96,32.78,18.93,118.5,20.5,28.8,13.5,8.82,9.9,70.7,7.8,0.3,9.9,9.9,9.9,3.59,13.5,9.9,9.9
Eggplant,Eggplant,M,68.17,22.51,29.73,77.6,50.2,59.3,9.4,27.7,29.6,211.4,5.68,6.85,29.6,29.6,29.6,4.0,29.6,29.6,29.6
Cabbage,Cabbage,H,129.66,30.4,19.46,118.3,20.4,31.2,2.14,9.49,11.7,83.6,2.01,8.8,11.7,11.7,11.7,6.0,11.7,11.7,11.7
Cabbage,Cabbage,H,127.6,31.23,21.96,115.1,20.3,29.6,2.61,1.1,7.6,54.3,1.95,8.37,7.6,7.6,7.6,5.0,7.6,7.6,7.6
Eggplant,Eggplant,H,83.4,20.53,35.02,72.1,21.0,29.5,9.41,0.5,7.12,3.6,9.09,5.65,0.5,0.5,0.5,6.0,0.5,0.5,0.5
String Bean,String Bean,L,42.69,20.69,29.14,52.0,85.7,50.7,9.3,65.0,21.6,464.3,3.4,9.3,65.0,65.0,65.0,6.0,65.0,65.0,65.0
Eggplant,Eggplant,H,73.91,18.33,35.88,71.5,19.2,30.6,6.84,0.9,5.84,6.4,1.29,9.85,0.9,0.9,0.9,3.0,0.9,0.9,0.9
Cabbage,Cabbage,H,125.6,26.74,18.76,125.3,19.5,30.2,6.66,2.59,11.4,81.4,9.24,6.69,11.4,11.4,11.4,2.0,11.4,11.4,11.4
Cabbage,Cabbage,M,109.46,22.64,23.17,142.7,34.2,46.5,33.2,11.6,23.3,166.4,21.5,0.3,23.3,23.3,23.3,9.89,33.2,23.3,23.3
Tomato,Tomato,L,65.76,31.26,29.02,91.3,119.4,86.0,25.5,88.1,57.0,629.3,5.44,8.0,88.1,88.1,88.1,6.0,88.1,88.1,88.1
Patola,Patola,H,27.72,22.93,34.38,31.0,20.7,31.3,3.3,7.49,1.93,7.28,7.2,6.93,1.0,4.0,5.0,3.31,3.31,9.0,4.0
Chayote,Chayote,M,38.36,21.3,28.49,50.7,52.3,45.1,12.3,31.0,16.6,221.4,2.4,1.78,31.0,31.0,31.0,4.0,31.0,31.0,31.0
String Bean,String Bean,L,38.12,21.12,25.72,48.9,86.8,49.6,10.8,65.7,23.9,469.3,6.74,3.71,65.7,65.7,65.7,10.0,65.7,65.7,65.7
Cabbage,Cabbage,H,100.78,30.92,21.13,118.4,19.3,30.2,17.6,6.09,9.1,65.0,18.5,6.23,9.1,9.1,9.1,8.51,17.61,9.1,9.1
Okra,Okra,M,70.83,19.82,32.58,78.0,52.3,59.6,7.2,32.5,27.0,232.1,4.67,10.0,32.49,32.49,32.49,6.0,32.52,32.5,32.5
String Bean,String Bean,M,36.2,22.53,25.21,38.5,42.8,40.9,2.3,20.3,15.7,145.0,8.51,7.31,20.3,20.3,20.3,3.0,20.3,20.3,20.3
Cabbage,Cabbage,M,122.03,25.55,21.18,133.5,33.8,46.5,11.5,8.2,25.3,180.7,6.1,3.12,25.3,25.3,25.3,4.0,25.3,25.3,25.3
Ampalaya,Ampalaya,M,45.74,20.19,32.11,52.4,51.1,43.2,6.7,30.9,11.1,220.7,8.45,8.95,30.9,30.9,30.9,7.0,30.9,30.9,30.9
Cabbage,Cabbage,H,117.12,30.37,19.4,121.1,20.9,29.1,4.0,7.32,9.7,69.3,2.96,7.87,9.7,9.7,9.7,1.0,9.7,9.7,9.7
Okra,Okra,H,62.57,18.49,29.79,81.9,20.2,28.9,19.3,1.7,1.29,12.1,38.3,9.0,1.69,1.69,1.69,17.62,19.34,1.7,1.7
Patola,Patola,M,28.88,21.14,26.04,60.6,51.8,45.9,31.7,30.7,19.9,219.3,2.2,1.85,30.7,30.7,30.7,1.01,31.71,30.7,30.7
String Bean,String Bean,H,35.16,19.7,35.5,34.3,20.7,29.8,6.4,3.0,5.86,7.1,8.25,7.0,0.99,0.99,0.99,9.0,1.02,2.0,4.0
Eggplant,Eggplant,M,65.7,22.12,28.25,77.5,49.5,57.0,11.8,27.4,28.8,205.7,1.49,1.13,28.8,28.8,28.8,6.0,28.8,28.8,28.8
String Bean,String Bean,H,41.97,17.83,36.58,35.5,20.9,28.6,6.93,3.1,3.62,22.1,2.52,10.0,3.09,3.09,3.09,9.0,3.12,3.1,3.1
Chayote,Chayote,L,39.83,21.61,33.74,62.9,79.8,59.3,23.1,58.2,25.6,415.7,9.95,7.25,58.2,58.2,58.2,9.0,58.2,58.2,58.2
Carrot,Carrot,H,58.22,28.11,27.8,72.9,28.6,30.0,14.7,0.5,2.2,15.7,27.2,2.89,2.2,2.2,2.2,12.51,14.71,2.2,2.2
Chayote,Chayote,H,38.88,22.82,24.6,40.8,19.8,29.4,1.9,3.77,4.8,34.3,3.79,6.17,4.8,4.8,4.8,10.0,4.8,4.8,4.8
Tomato,Tomato,H,68.48,29.82,31.96,68.5,29.7,29.8,9.1,5.09,8.4,1.43,3.2,5.67,6.0,8.0,1.0,4.0,7.0,8.0,5.0
Okra,Okra,H,84.21,20.4,35.24,76.8,19.1,29.9,3.81,1.08,3.19,4.91,9.23,6.2,10.0,5.0,4.0,6.0,4.0,3.0,1.0
Chili Pepper,Chili Pepper,M,29.52,27.06,60.78,62.4,48.9,121.8,32.9,21.8,61.0,435.7,2.28,6.66,61.0,61.0,61.0,10.0,61.0,61.0,61.0
Eggplant,Eggplant,H,66.2,17.64,33.65,70.3,19.8,29.2,4.1,2.2,4.2,15.7,4.1,0.3,2.2,2.2,2.2,1.89,4.1,2.2,2.2
Tomato,Tomato,L,64.76,31.72,25.53,91.1,123.3,86.2,26.3,91.6,60.7,654.3,5.33,2.75,91.6,91.6,91.6,4.0,91.6,91.6,91.6
Ampalaya,Ampalaya,H,39.42,19.13,32.74,38.4,20.4,31.4,5.39,1.3,7.64,9.3,6.9,2.3,1.3,1.3,1.3,2.0,1.3,1.3,1.3
Chayote,Chayote,M,41.42,19.22,27.63,50.8,52.4,44.6,9.4,33.2,17.0,237.1,6.86,6.0,33.19,33.19,33.19,9.0,33.22,33.2,33.2
Carrot,Carrot,L,80.14,24.65,26.54,91.0,93.7,119.6,10.9,69.1,93.1,665.0,5.47,1.75,93.1,93.1,93.1,1.0,93.1,93.1,93.1
Carrot,Carrot,H,73.72,30.76,28.77,70.1,30.7,29.8,3.18,9.15,3.0,7.1,6.58,2.0,0.99,0.99,0.99,8.0,1.02,3.0,6.0
Chili Pepper,Chili Pepper,L,32.57,28.43,54.58,92.6,76.2,154.6,60.0,47.8,100.0,714.3,1.98,4.39,100.0,100.0,100.0,7.0,100.0,100.0,100.0
Cabbage,Cabbage,L,109.47,31.47,19.47,145.7,59.9,59.8,36.2,28.4,40.3,287.9,6.57,8.84,40.31,40.31,40.31,5.0,40.31,40.31,40.31
Patola,Patola,L,32.28,15.87,29.53,86.1,80.3,62.2,53.8,64.4,32.7,460.0,1.51,3.54,64.4,64.4,64.4,10.0,64.4,64.4,64.4
Patola,Patola,L,33.19,16.87,24.31,86.5,78.6,59.4,53.3,61.7,35.1,440.7,7.3,5.64,61.7,61.7,61.7,6.0,61.7,61.7,61.7
Carrot,Carrot,L,60.57,29.02,33.77,87.5,89.6,125.5,26.9,60.6,91.7,655.0,5.41,6.16,91.7,91.7,91.7,7.0,91.7,91.7,91.7
Cabbage,Cabbage,L,117.39,33.14,22.33,151.9,58.9,57.9,34.5,25.8,35.6,254.3,3.66,7.34,35.6,35.6,35.6,7.0,35.6,35.6,35.6
Chayote,Chayote,L,41.76,21.48,30.27,62.1,76.1,59.3,20.3,54.6,29.0,390.0,8.81,8.01,54.6,54.6,54.6,2.0,54.6,54.6,54.6
Chayote,Chayote,M,40.66,19.37,28.23,48.3,50.6,43.0,7.6,31.2,14.8,222.9,3.38,4.75,31.21,31.21,31.21,2.0,31.21,31.21,31.21
Chayote,Chayote,M,49.45,19.14,37.79,47.7,50.9,43.7,4.93,31.8,5.9,227.1,5.32,1.0,31.79,31.79,31.79,7.0,31.82,31.8,31.8
Eggplant,Eggplant,L,78.84,19.9,22.27,85.5,77.1,87.9,6.7,57.2,65.6,468.6,5.51,9.02,65.6,65.6,65.6,1.0,65.6,65.6,65.6
Eggplant,Eggplant,M,83.66,22.43,29.48,78.3,50.4,57.2,3.73,28.0,27.7,200.0,6.68,6.96,28.0,28.0,28.0,1.0,28.0,28.0,28.0
Eggplant,Eggplant,H,69.46,20.94,27.39,72.1,20.2,29.1,2.6,3.63,1.7,12.1,2.0,8.0,1.69,1.69,1.69,0.92,2.64,1.7,1.7
Okra,Okra,L,72.35,19.96,30.4,89.0,78.9,86.3,16.7,58.9,55.9,420.7,7.11,2.19,58.9,58.9,58.9,4.0,58.9,58.9,58.9
Patola,Patola,L,22.36,22.86,31.36,88.1,78.7,58.2,65.7,55.8,26.8,398.6,21.5,0.3,55.8,55.8,55.8,9.89,65.7,55.8,55.8
Okra,Okra,H,77.9,22.96,32.98,79.9,19.3,29.6,2.0,7.86,3.41,7.53,4.3,0.7,3.0,2.0,8.0,1.98,2.0,0.01,0.01
Cabbage,Cabbage,L,112.03,32.33,17.51,146.4,60.7,60.5,34.4,28.4,43.0,307.1,4.4,9.0,42.99,42.99,42.99,4.0,43.02,43.0,43.0
Carrot,Carrot,H,72.35,31.33,29.04,72.7,29.9,29.0,0.4,8.12,9.16,1.04,0.9,7.72,9.0,3.0,7.0,0.41,0.41,2.0,9.0
Okra,Okra,M,76.37,19.97,35.25,81.0,48.0,60.9,4.6,28.0,25.6,200.0,3.89,5.71,28.0,28.0,28.0,7.0,28.0,28.0,28.0
Chili Pepper,Chili Pepper,M,31.47,31.23,64.27,62.0,50.6,114.8,30.5,19.4,50.5,360.7,1.13,7.57,50.5,50.5,50.5,9.0,50.5,50.5,50.5
Chayote,Chayote,L,32.06,20.69,24.09,60.1,80.1,60.7,28.0,59.4,36.6,424.3,1.14,9.66,59.4,59.4,59.4,6.0,59.4,59.4,59.4
Chili Pepper,Chili Pepper,H,30.81,35.9,57.32,31.3,31.4,62.1,0.5,9.81,4.8,34.3,7.41,7.13,4.8,4.8,4.8,6.0,4.8,4.8,4.8
Cabbage,Cabbage,L,114.95,23.44,19.78,153.1,59.1,59.8,38.1,35.7,40.0,285.7,8.09,2.09,40.0,40.0,40.0,8.0,40.0,40.0,40.0
Cabbage,Cabbage,H,110.34,26.17,20.57,116.6,19.9,29.4,6.3,4.89,8.8,62.9,4.72,7.59,8.81,8.81,8.81,9.0,8.81,8.81,8.81
Chayote,Chayote,L,47.55,20.79,35.44,61.4,77.4,58.3,13.8,56.6,22.9,404.3,5.94,6.73,56.6,56.6,56.6,8.0,56.6,56.6,56.6
Carrot,Carrot,H,72.62,30.03,26.8,66.6,30.9,28.5,3.6,0.9,1.7,12.1,9.48,3.0,1.69,1.69,1.69,1.0,1.72,1.7,1.7
Patola,Patola,H,28.84,18.96,32.6,31.2,20.3,29.5,2.4,1.3,6.74,9.3,2.4,3.43,1.3,1.3,1.3,1.1,2.4,1.3,1.3
Ampalaya,Ampalaya,L,38.61,21.91,28.3,91.1,78.5,60.0,52.5,56.6,31.7,404.3,2.35,6.37,56.6,56.6,56.6,3.0,56.6,56.6,56.6
Okra,Okra,L,76.32,21.79,33.64,89.8,79.6,93.3,13.5,57.8,59.7,426.4,2.62,1.65,59.7,59.7,59.7,5.0,59.7,59.7,59.7
Tomato,Tomato,H,76.06,32.44,30.48,73.0,30.0,30.2,9.63,1.23,9.21,5.68,7.41,3.6,3.0,5.0,6.0,4.0,6.0,9.0,8.0
Carrot,Carrot,L,61.95,30.13,31.22,93.1,92.7,114.5,31.1,62.6,83.3,595.0,9.89,9.86,83.3,83.3,83.3,5.0,83.3,83.3,83.3
Chayote,Chayote,M,44.21,21.43,27.32,51.3,47.9,47.1,7.1,26.5,19.8,189.3,5.51,9.16,26.5,26.5,26.5,1.0,26.5,26.5,26.5
Patola,Patola,M,30.18,22.48,33.9,62.1,52.3,42.9,31.9,29.8,9.0,212.9,4.5,0.7,29.81,29.81,29.81,2.07,31.9,29.82,29.82
Tomato,Tomato,H,77.11,31.17,27.48,68.3,29.4,29.7,9.76,3.72,2.2,15.7,9.16,3.88,2.2,2.2,2.2,2.0,2.2,2.2,2.2
Chili Pepper,Chili Pepper,M,28.66,27.78,64.11,60.4,51.3,114.9,31.7,23.5,50.8,362.9,1.3,6.28,50.81,50.81,50.81,9.0,50.81,50.81,50.81
Okra,Okra,H,73.79,19.31,29.64,77.6,20.2,29.8,3.8,0.9,0.2,6.4,6.3,8.51,0.9,0.9,0.9,2.9,3.8,0.9,0.9
Cabbage,Cabbage,H,107.92,32.56,20.2,121.3,19.5,30.0,13.4,9.72,9.8,70.0,7.8,0.3,9.8,9.8,9.8,3.59,13.4,9.8,9.8
String Bean,String Bean,M,38.49,19.94,27.58,40.3,45.5,40.1,1.8,25.6,12.5,182.9,6.35,1.34,25.61,25.61,25.61,2.0,25.61,25.61,25.61
Carrot,Carrot,M,72.79,30.52,27.89,79.8,58.8,72.5,7.0,28.3,44.6,318.6,1.73,4.41,44.6,44.6,44.6,4.0,44.6,44.6,44.6
String Bean,String Bean,H,32.91,18.85,31.24,36.2,19.2,29.1,3.3,0.3,6.83,2.1,6.5,9.0,0.29,0.29,0.29,2.99,3.31,0.3,0.3
String Bean,String Bean,L,37.85,19.93,29.9,49.5,89.7,50.0,11.6,69.8,20.1,498.6,1.97,7.99,69.8,69.8,69.8,8.0,69.8,69.8,69.8
Patola,Patola,L,31.15,20.84,34.01,87.0,78.1,60.6,55.8,57.3,26.6,409.3,9.2,3.24,57.3,57.3,57.3,8.0,57.3,57.3,57.3
Ampalaya,Ampalaya,L,33.18,18.96,29.34,90.8,78.7,61.7,57.6,59.7,32.4,426.4,9.51,4.52,59.7,59.7,59.7,6.0,59.7,59.7,59.7
Cabbage,Cabbage,H,133.88,28.7,18.68,116.2,19.8,29.8,3.56,7.0,11.1,79.3,8.05,6.18,11.1,11.1,11.1,4.0,11.1,11.1,11.1
Patola,Patola,M,30.48,22.98,27.72,59.9,48.7,44.8,29.4,25.7,17.1,183.6,8.0,0.7,25.7,25.7,25.7,3.68,29.4,25.71,25.71
Okra,Okra,H,68.39,21.04,33.82,83.3,19.9,30.4,14.9,2.09,1.28,1.32,32.4,9.39,10.0,6.0,8.0,14.9,14.9,4.0,10.0
Carrot,Carrot,M,72.97,27.66,30.51,80.0,61.7,78.5,7.0,34.0,48.0,342.9,6.2,6.38,48.01,48.01,48.01,10.0,48.01,48.01,48.01
Eggplant,Eggplant,H,71.96,20.06,30.95,70.7,20.1,29.8,4.37,3.52,7.28,7.22,1.19,1.99,3.0,9.0,2.0,5.0,3.0,7.0,10.0
Okra,Okra,H,71.83,18.83,32.92,79.3,19.7,31.0,7.5,0.9,6.91,6.4,14.3,0.7,0.9,0.9,0.9,6.58,7.5,0.91,0.91
Chayote,Chayote,L,47.98,20.04,28.84,59.2,77.9,59.7,11.2,57.9,30.9,413.6,9.27,5.73,57.9,57.9,57.9,2.0,57.9,57.9,57.9
Okra,Okra,H,75.11,19.62,33.81,80.1,20.6,29.9,5.0,1.0,6.89,7.1,8.7,9.0,0.99,0.99,0.99,4.0,5.02,9.0,6.0
Chili Pepper,Chili Pepper,M,29.38,30.64,59.58,57.5,49.3,121.6,28.1,18.7,62.0,442.9,6.74,4.96,62.01,62.01,62.01,10.0,62.01,62.01,62.01
Tomato,Tomato,L,60.82,32.89,32.39,91.0,117.3,92.4,30.2,84.4,60.0,602.9,5.93,5.92,84.41,84.41,84.41,7.0,84.41,84.41,84.41
Carrot,Carrot,L,74.79,24.56,31.83,93.6,89.5,115.7,18.8,64.9,83.9,599.3,9.39,4.0,83.9,83.9,83.9,5.0,83.9,83.9,83.9
Carrot,Carrot,M,72.06,25.47,29.81,78.4,60.9,72.4,6.3,35.4,42.6,304.3,6.98,9.68,42.6,42.6,42.6,3.0,42.6,42.6,42.6
Eggplant,Eggplant,H,61.02,17.59,26.25,68.9,20.9,29.3,7.9,3.3,3.1,23.6,10.0,8.36,3.3,3.3,3.3,4.6,7.9,3.3,3.3
Ampalaya,Ampalaya,L,41.15,16.33,32.16,90.5,78.6,60.9,49.4,62.3,28.7,445.0,4.65,3.54,62.3,62.3,62.3,9.0,62.3,62.3,62.3
Carrot,Carrot,M,59.79,32.1,30.9,83.5,62.2,71.7,23.7,30.1,40.8,291.4,4.23,3.29,40.8,40.8,40.8,6.0,40.8,40.8,40.8
Chili Pepper,Chili Pepper,M,32.48,34.61,59.19,59.0,48.9,122.7,26.5,14.3,63.5,453.6,2.21,5.56,63.5,63.5,63.5,9.0,63.5,63.5,63.5
Okra,Okra,M,88.51,24.68,27.73,78.1,51.7,58.5,9.06,27.0,30.8,220.0,6.14,7.35,30.8,30.8,30.8,10.0,30.8,30.8,30.8
String Bean,String Bean,H,39.17,18.35,29.03,35.8,19.1,29.9,5.59,0.8,0.9,6.4,4.69,7.71,0.9,0.9,0.9,5.0,0.9,0.9,0.9
Tomato,Tomato,H,65.7,32.21,24.97,71.6,28.6,29.3,5.9,7.71,4.3,30.7,3.5,8.94,4.3,4.3,4.3,1.61,5.91,4.3,4.3
Cabbage,Cabbage,L,132.45,28.95,20.96,151.6,62.4,60.8,19.2,33.4,39.8,284.3,7.47,5.58,39.8,39.8,39.8,7.0,39.8,39.8,39.8
Patola,Patola,L,31.5,20.78,31.35,85.7,81.1,61.6,54.2,60.3,30.2,430.7,5.25,6.16,60.3,60.3,60.3,3.0,60.3,60.3,60.3
Chayote,Chayote,H,38.62,20.73,33.6,40.1,19.2,31.2,1.5,5.36,3.01,1.05,3.3,6.49,4.0,1.0,3.0,1.52,1.52,4.0,7.0
Tomato,Tomato,H,52.14,33.41,32.24,69.5,30.5,30.5,17.4,2.64,5.2,4.64,37.8,0.3,8.0,5.0,5.0,17.39,17.4,4.0,10.0
Chili Pepper,Chili Pepper,M,32.67,25.07,58.2,57.1,48.6,123.1,24.4,23.5,64.9,463.6,7.6,1.22,64.9,64.9,64.9,10.0,64.9,64.9,64.9
String Bean,String Bean,H,35.05,22.33,26.57,34.0,20.7,28.8,3.08,6.17,2.2,15.7,6.72,1.11,2.2,2.2,2.2,8.0,2.2,2.2,2.2
String Bean,String Bean,L,31.22,20.24,25.74,50.4,85.8,50.2,19.2,65.6,24.5,468.6,1.22,6.72,65.6,65.6,65.6,4.0,65.6,65.6,65.6
Eggplant,Eggplant,H,65.69,19.88,29.29,71.0,20.2,29.5,5.3,0.3,0.2,2.1,10.9,7.0,0.29,0.29,0.29,5.01,5.33,0.3,0.3
Ampalaya,Ampalaya,M,42.21,22.45,31.25,48.1,48.7,46.8,5.9,26.3,15.5,187.9,6.2,4.48,26.31,26.31,26.31,1.0,26.31,26.31,26.31
Eggplant,Eggplant,H,64.14,19.23,29.39,68.5,20.5,29.2,4.4,1.3,2.53,9.3,6.7,0.7,1.3,1.3,1.3,3.08,4.4,1.31,1.31
Chayote,Chayote,M,39.21,22.2,25.11,51.5,52.2,46.7,12.3,30.0,21.6,214.3,3.57,8.33,30.0,30.0,30.0,3.0,30.0,30.0,30.0
Eggplant,Eggplant,H,68.99,23.59,34.06,67.1,20.7,28.8,1.83,7.42,1.65,2.49,6.15,4.16,7.0,6.0,5.0,3.0,5.0,4.0,9.0
Chayote,Chayote,H,44.53,20.95,32.35,41.4,19.9,29.2,7.22,9.02,4.79,5.75,6.67,3.2,4.0,10.0,4.0,7.0,9.0,7.0,7.0
Eggplant,Eggplant,M,71.97,19.61,29.82,82.0,51.7,59.7,10.0,32.1,29.9,229.3,5.05,7.8,32.1,32.1,32.1,5.0,32.1,32.1,32.1
String Bean,String Bean,M,34.46,15.77,30.88,38.3,47.2,41.8,3.8,31.4,10.9,224.3,9.69,7.81,31.4,31.4,31.4,6.0,31.4,31.4,31.4
Eggplant,Eggplant,H,57.9,19.54,29.07,66.8,20.1,30.1,8.9,0.6,8.0,7.1,17.2,6.0,0.99,0.99,0.99,7.91,8.93,8.0,10.0
Chayote,Chayote,M,51.06,19.54,32.47,51.5,49.7,46.4,0.4,30.2,13.9,215.7,9.82,2.85,30.2,30.2,30.2,6.0,30.2,30.2,30.2
String Bean,String Bean,H,33.21,20.69,24.87,33.8,20.6,30.2,0.6,1.76,5.3,37.9,1.92,2.15,5.31,5.31,5.31,8.0,5.31,5.31,5.31
Patola,Patola,H,30.85,20.08,24.07,29.6,19.4,30.3,1.3,7.9,6.2,44.3,3.89,4.36,6.2,6.2,6.2,4.0,6.2,6.2,6.2
Carrot,Carrot,M,79.58,35.48,28.03,81.2,59.4,73.2,1.6,23.9,45.2,322.9,2.68,7.58,45.21,45.21,45.21,8.0,45.21,45.21,45.21
Chayote,Chayote,H,37.11,19.31,29.24,41.1,19.7,30.2,4.0,0.4,10.0,7.1,6.5,9.0,0.99,0.99,0.99,2.99,4.01,2.0,10.0
Okra,Okra,M,80.29,20.82,31.31,82.0,49.6,60.1,1.7,28.8,28.8,205.7,6.08,2.96,28.8,28.8,28.8,7.0,28.8,28.8,28.8
Chayote,Chayote,M,35.11,20.63,28.78,50.8,51.3,45.5,15.7,30.7,16.7,219.3,2.08,3.2,30.7,30.7,30.7,4.0,30.7,30.7,30.7
